scenario,sadness,joy,love,anger,fear,surprise
"multinational negotiations for repurposing waste for energy, fashion, manufacturing and fertiliser started.",0.11096159368753433,0.2032766342163086,0.020045194774866104,0.47305992245674133,0.17409680783748627,0.018559930846095085
the global acknowledgement of overfishing and the ratification of science-based targets is an accepted global framework are agreed at cop in singapore.,0.030140656977891922,0.6163355112075806,0.004864041693508625,0.232209712266922,0.10840802639722824,0.008042018860578537
"coca (cities of climate action) agree on planet first as a guiding principle above all else at their annual meeting at the virtual planet meeting room, no physical travel was necessary.",0.08306536823511124,0.3027624487876892,0.021816017106175423,0.23031556606292725,0.3288186490535736,0.03322194889187813
"the parliament of the commons was established as an arm of the united nations (un) general assembly bringing voices of the global commons, like our oceans, forests, savannahs and atmosphere, to the world stage for the first time; each has their own flag flying at the un. talks about giving ai a voice started in the 2040s and proved controversial. a healthy debate is ongoing.",0.07577531784772873,0.06680585443973541,0.003921291790902615,0.691144585609436,0.15930896997451782,0.0030438925605267286
"the climate march was held in response to food and biofuel price hikes. although devastating, these events heightened the global debate on how to sustainably feed the growing population and ultimately catalysed action.",0.021030616015195847,0.043815623968839645,0.0051298984326422215,0.8070955872535706,0.12003200501203537,0.002896165708079934
what was once known as rubbish or garbage is one of today’s most valuable ecology and is mined both on land and sea.,0.02552851289510727,0.4178837239742279,0.009830310009419918,0.351317822933197,0.19125838577747345,0.004181181080639362
deaths from non-infectious and non-communicable diseases will account for over 75 percent of annual deaths.,0.008179295808076859,0.09610700607299805,0.004312918055802584,0.15997464954853058,0.7218557596206665,0.009570369496941566
the annual number of deaths from cancer will increase globally around 60 percent.,0.18359754979610443,0.29608994722366333,0.01467159204185009,0.40869584679603577,0.08765613287687302,0.009288933128118515
cardiovascular disease deaths are expected to increase to 23.4 million.,0.08861362189054489,0.23705284297466278,0.03419450670480728,0.2122390866279602,0.37308958172798157,0.054810382425785065
"the following diseases are expected to be the leading cause of death: coronary artery disease, cerebrovascular diseases and chronic obstructive pulmonary disease (copd).",0.04336049407720566,0.1324070394039154,0.005531299859285355,0.4599979817867279,0.3484586179256439,0.010244561359286308
"copd is mainly attributed to the projected increase in tobacco use. in comparison, road accidents would be the fifth leading cause of death.",0.05337910354137421,0.34270602464675903,0.005479281768202782,0.4831075072288513,0.11140280216932297,0.003925336990505457
the growing use of vehicles combined with economic growth in countries with low and middle average incomes leads to high road fatalities.,0.02361563965678215,0.09521447122097015,0.006488119717687368,0.6617651581764221,0.20435379445552826,0.008562782779335976
the proportion of the world's population living in cities will increased from 52 percent in 2011 to 60 percent.,0.0701722651720047,0.25790390372276306,0.015410476364195347,0.4828639328479767,0.15534356236457825,0.018305882811546326
the population of urban areas in less developed countries increased from 2.67 billion in 2011 to 3.92 billion.,0.06111995503306389,0.1912001222372055,0.011277814395725727,0.3960754871368408,0.3278014063835144,0.012525283731520176
almost all of the world's population growth of an estimated 1.3 billion people will be concentrated in urban areas.,0.09565914422273636,0.5132966041564941,0.008930843323469162,0.22374559938907623,0.1528637558221817,0.005504158791154623
more and more people will live in cities.,0.12364555895328522,0.27581387758255005,0.06820303201675415,0.19669169187545776,0.32778191566467285,0.007863941602408886
the city life is expected to consist mainly of one-person households in germany.,0.012023167684674263,0.9447985291481018,0.003646630560979247,0.02260947972536087,0.012997937388718128,0.003924449440091848
one-person households increased from 40 percent in 2009 to 43 percent.,0.030082324519753456,0.7578969597816467,0.005335893947631121,0.13735061883926392,0.06198209524154663,0.007352134678512812
the development of two-person households share is estimated at 38 percent.,0.04781100153923035,0.6195083260536194,0.01401019748300314,0.220181405544281,0.08755192905664444,0.010937092825770378
"the proportion of families, the main group of households with three or more people, fell below ten percent.",0.9363921284675598,0.005533981136977673,0.001627488643862307,0.018646201118826866,0.03487931564450264,0.0029208569321781397
