index,word,count
0,social,122
1,innovation,122
2,global,106
3,research,87
4,people,81
5,society,78
6,knowledge,65
7,system,63
8,health,60
9,country,60
10,life,57
11,world,56
12,city,56
13,economic,54
14,area,54
15,service,51
16,consumption,51
17,change,50
18,development,48
19,citizen,48
20,digital,47
21,increase,46
22,population,44
23,form,44
24,effect,44
25,increasingly,43
26,urban,42
27,technology,41
28,increased,40
29,economy,40
30,product,39
31,market,38
32,also,38
33,need,37
34,good,36
35,access,35
36,education,34
37,due,34
38,towards,33
39,common,33
40,work,32
41,individual,32
42,challenge,32
43,many,31
44,financial,31
45,environmental,31
46,sustainable,30
47,science,30
48,data,30
49,production,29
50,private,29
51,political,29
52,online,29
53,internet,29
54,climate,29
55,well,28
56,used,28
57,still,28
58,public,28
59,time,27
60,resource,27
61,process,27
62,open,27
63,material,27
64,information,27
65,led,26
66,driver,26
67,user,25
68,technical,25
69,scientific,25
70,network,25
71,important,25
72,germany,25
73,energy,25
74,company,25
75,working,23
76,value,23
77,trend,23
78,sector,23
79,possible,23
80,pattern,23
81,noise,23
82,model,23
83,medium,23
84,infrastructure,23
85,high,23
86,growth,23
87,environment,23
88,condition,23
89,personal,22
90,investment,22
91,industrial,22
92,importance,22
93,growing,22
94,family,22
95,example,22
96,developing,22
97,demand,22
98,business,22
99,woman,21
100,way,21
101,requirement,21
102,longer,21
103,human,21
104,ecological,21
105,death,21
106,around,21
107,activity,21
108,university,20
109,take,20
110,state,20
111,policy,20
112,place,20
113,opportunity,20
114,one,20
115,food,20
116,societal,19
117,risk,19
118,potential,19
119,globally,19
120,extreme,19
121,crisis,19
122,concept,19
123,support,18
124,show,18
125,region,18
126,problem,18
127,future,18
128,emerging,18
129,wa,17
130,protection,17
131,part,17
132,order,17
133,offer,17
134,movement,17
135,make,17
136,large,17
137,field,17
138,exchange,17
139,consequence,17
140,capital,17
141,result,16
142,question,16
143,quality,16
144,planet,16
145,participation,16
146,level,16
147,friendship,16
148,developed,16
149,debt,16
